SPECGRP,SPECGRPN,NAME,ADDRESS,CITY,ZIP,COUNTY,ASSETS,DEPOSITS, DEPDOM ,EQUITY,NETINC,ROA,ROE,OFFDOM,WEBADDR,NAMEHCR,ROAPTX,TRUST,CERTCONS,BKCLASS,CHRTAGNT,ENDEFYMD,ESTYMD,INSDATE,REPDTE,RISDATE,STCHRTR,STCNTY,FLDOFF,REGAGNT,OFFFOR,STALPHCR,STMULT,SUBCHAPS
2,Agricultural  Specialization,First National Bank of Clarksdale,402 East Second Street,Clarksdale,38614,Coahoma,365691,287513,287513,39519,2807,1.01,9.96,5,http://fnbclarksdale.com,First Valley National Corp.,1.38,1,0,N,OCC,12/31/9999,4/1/1964,4/1/1964,9/30/2014,9/30/2014,0,28027,Memphis,OCC,0,MS,0,0
2,Agricultural  Specialization,Bank of Okolona,227 West Main Street,Okolona,38860,Chickasaw,144971,124551,124551,17542,2270,2.08,17.99,3,http://www.bankofokolona.com,Bancorp Of Okolona,2.08,0,0,NM,STATE,12/31/9999,1/31/1931,1/1/1934,9/30/2014,9/30/2014,1,28017,Jackson Ms,FDIC,0,MS,0,1
2,Agricultural  Specialization,Bank of Anguilla,130 Holland Street,Anguilla,38721,Sharkey,128793,103384,103384,13906,736,0.78,7.42,5, ,Pyramid Financial Corporation,0.93,0,0,NM,STATE,12/31/9999,1/1/1904,1/1/1934,9/30/2014,9/30/2014,1,28125,Jackson Ms,FDIC,0,MS,0,0
2,Agricultural  Specialization,Citizens Bank & Trust Co.,239 East Main St,Marks,38646,Quitman,123637,100049,100049,12758,746,0.78,8,3,www.cbt-co.com,"Cb&T Bancshares, Inc.",0.78,1,0,NM,STATE,12/31/9999,8/17/1917,1/1/1934,9/30/2014,9/30/2014,1,28119,Memphis,FDIC,0,MS,0,1
2,Agricultural  Specialization,The Jefferson Bank,1445 Main Street,Fayette,39069,Jefferson,113078,84214,84214,16564,1125,1.44,9.38,4,www.thejeffersonbank.com,Southeast Arkansas Bank Corporation,2.46,0,0,NM,STATE,12/31/9999,1/3/1901,1/1/1934,9/30/2014,9/30/2014,1,28063,Jackson Ms,FDIC,0,AR,0,0
2,Agricultural  Specialization,Covington County Bank,102 S Dogwood Ave,Collins,39428,Covington,67411,59781,59781,6962,329,0.65,6.54,1,www.covcobank.com,Covington Capital Corporation,0.9,1,0,NM,STATE,12/31/9999,5/1/1975,5/1/1975,9/30/2014,9/30/2014,1,28031,Jackson Ms,FDIC,0,MS,0,0
2,Agricultural  Specialization,Tallahatchie County Bank,2 East Main Street,Charleston,38921,Tallahatchie,57501,51690,51690,5729,282,0.64,6.68,1, ,Tallahatchie Holding Company,0.68,1,0,NM,STATE,12/31/9999,11/11/1913,4/22/1947,9/30/2014,9/30/2014,1,28135,Memphis,FDIC,0,MS,0,0
2,Agricultural  Specialization,The Bank of Bolivar County,2nd And Forest Street,Shelby,38774,Bolivar,15917,14278,14278,1604,16,0.13,1.47,2, ,Bolivar Banking Corporation,0.13,0,0,NM,STATE,12/31/9999,9/5/1940,4/4/1941,9/30/2014,9/30/2014,1,28011,Jackson Ms,FDIC,0,MS,0,0
4,Commercial Lending Specialization,Whitney Bank,1 Hancock Plaza,Gulfport,39501,Harrison,19870445,15820801,15442134,2465076,142259,0.98,7.78,202,www.hancockbank.com,Hancock Holding Company,1.35,1,0,NM,STATE,12/31/9999,1899-10-09,1/1/1934,9/30/2014,9/30/2014,1,28047,Jackson Ms,FDIC,1,MS,1,0
4,Commercial Lending Specialization,BancorpSouth Bank,One Mississippi Plaza,Tupelo,38801,Lee,13063852,10661394,10661394,1589175,91007,0.93,7.78,272,www.bancorpsouth.com,"Bancorpsouth, Inc.",1.35,1,0,NM,STATE,12/31/9999,1876-03-01,1/1/1934,9/30/2014,9/30/2014,1,28081,Jackson Ms,FDIC,0,MS,1,0
